date,disturbance_id,line_id,point_name,point_id,coord_x,coord_y,angle_degrees,distance_from_reference_ft,reference_coord_x,reference_coord_y,light_upstream_reference
10/1/2022,1,1,a,a_1_1,-25,25,na,na,na,na,yes
10/1/2022,1,1,b,b_1_1,na,25,165,20,0,25,no
10/1/2022,1,1,c,c_1_1,na,na,165,35,0,25,no
10/1/2022,1,1,d,d_1_1,na,na,165,50,0,25,no
10/1/2022,1,1,e,e_1_1,na,na,165,75,0,25,no
10/1/2022,1,1,f,f_1_1,na,na,165,100,0,25,no
10/1/2022,1,1,h,h_1_1,na,na,165,150,0,25,no
10/1/2022,1,2,i,i_1_2,na,na,195,35,0,25,no
10/1/2022,1,2,j,j_1_2,na,na,195,50,0,25,no
10/1/2022,1,2,k,k_1_2,na,na,195,75,0,25,no
10/1/2022,1,2,l,l_1_2,na,na,195,100,0,25,no
10/1/2022,1,2,g,g_1_2,na,na,195,150,0,25,no
10/1/2022,2,1,a,a_1_1,-25,25,na,na,na,na,yes
10/1/2022,2,1,b,b_2_1,na,25,165,20,0,25,no
10/1/2022,2,1,c,c_2_1,na,na,165,35,0,25,no
10/1/2022,2,1,d,d_2_1,na,na,165,50,0,25,no
10/1/2022,2,1,e,e_2_1,na,na,165,75,0,25,no
10/1/2022,2,1,f,f_2_1,na,na,165,100,0,25,no
10/1/2022,2,1,h,h_2_1,na,na,165,150,0,25,no
10/1/2022,2,2,i,i_2_2,na,na,195,35,0,25,no
10/1/2022,2,2,j,j_2_2,na,na,195,50,0,25,no
10/1/2022,2,2,k,k_2_2,na,na,195,75,0,25,no
10/1/2022,2,2,l,l_2_2,na,na,195,100,0,25,no
10/1/2022,2,2,g,g_2_2,na,na,195,150,0,25,no
10/1/2022,3,1,a,a_3_1,-25,25,na,na,na,na,yes
10/1/2022,3,2,c,c_3_2,50,75,na,na,na,na,no
10/1/2022,3,3,i,i_3_3,50,150,na,na,na,na,no
9/17/2022,1,1,e,e_1_1,na,na,135,20,50,0,no
9/17/2022,1,1,f,f_1_1,na,na,135,35,50,0,no
9/17/2022,1,1,g,g_1_1,na,na,135,50,50,0,no
9/17/2022,1,1,i,i_1_1,na,na,135,75,50,0,no
9/17/2022,1,2,a,a_1_2,na,na,90,20,50,0,yes
9/17/2022,1,2,b,b_1_2,na,na,90,20,50,0,no
9/17/2022,1,2,c,c_1_2,na,na,90,35,50,0,no
9/17/2022,1,2,d,d_1_2,na,na,90,50,50,0,no
9/17/2022,1,2,h,h_1_2,na,na,90,75,50,0,no
9/17/2022,1,3,j,j_1_3,na,na,45,20,50,0,no
9/17/2022,1,3,k,k_1_3,na,na,45,35,50,0,no
9/17/2022,1,3,l,l_1_3,na,na,45,50,50,0,no
9/17/2022,2,1,e,e_2_1,na,na,135,20,50,0,no
9/17/2022,2,1,f,f_2_1,na,na,135,35,50,0,no
9/17/2022,2,1,g,g_2_1,na,na,135,50,50,0,no
9/17/2022,2,1,i,i_2_1,na,na,135,75,50,0,no
9/17/2022,2,2,a,a_2_2,na,na,90,20,50,0,yes
9/17/2022,2,2,b,b_2_2,na,na,90,20,50,0,no
9/17/2022,2,2,c,c_2_2,na,na,90,35,50,0,no
9/17/2022,2,2,d,d_2_2,na,na,90,50,50,0,no
9/17/2022,2,2,h,h_2_2,na,na,90,75,50,0,no
9/17/2022,2,3,j,j_2_3,na,na,45,20,50,0,no
9/17/2022,2,3,k,k_2_3,na,na,45,35,50,0,no
9/17/2022,2,3,l,l_2_3,na,na,45,50,50,0,no
7/14/2022,1,1,a,a_1_1,250,-20,na,na,na,na,yes
7/14/2022,1,1,b,b_1_1,250,50,na,na,na,na,no
7/14/2022,1,1,c,c_1_1,250,100,na,na,na,na,no
7/14/2022,1,1,d,d_1_1,250,200,na,na,na,na,no
7/14/2022,1,2,e,e_1_2,150,-20,na,na,na,na,yes
7/14/2022,1,2,f,f_1_2,150,50,na,na,na,na,no
7/14/2022,1,2,g,g_1_2,150,100,na,na,na,na,no
7/14/2022,1,2,h,h_1_2,150,200,na,na,na,na,no
7/14/2022,1,3,i,i_1_3,50,-20,na,na,na,na,yes
7/14/2022,1,3,j,j_1_3,50,50,na,na,na,na,no
7/14/2022,1,3,k,k_1_3,50,100,na,na,na,na,no
7/14/2022,1,3,l,l_1_3,50,200,na,na,na,na,no
7/14/2022,2,1,a,a_2_1,250,-20,na,na,na,na,yes
7/14/2022,2,1,b,b_2_1,250,50,na,na,na,na,no
7/14/2022,2,1,c,c_2_1,250,100,na,na,na,na,no
7/14/2022,2,1,d,d_2_1,250,200,na,na,na,na,no
7/14/2022,2,2,e,e_2_2,150,-20,na,na,na,na,yes
7/14/2022,2,2,f,f_2_2,150,50,na,na,na,na,no
7/14/2022,2,2,g,g_2_2,150,100,na,na,na,na,no
7/14/2022,2,2,h,h_2_2,150,200,na,na,na,na,no
7/14/2022,2,3,i,i_2_3,50,-20,na,na,na,na,yes
7/14/2022,2,3,j,j_2_3,50,50,na,na,na,na,no
7/14/2022,2,3,k,k_2_3,50,100,na,na,na,na,no
7/14/2022,2,3,l,l_2_3,50,200,na,na,na,na,no
7/14/2022,3,1,a,a_3_1,250,-20,na,na,na,na,yes
7/14/2022,3,1,b,b_3_1,250,50,na,na,na,na,no
7/14/2022,3,1,c,c_3_1,250,100,na,na,na,na,no
7/14/2022,3,1,d,d_3_1,250,200,na,na,na,na,no
7/14/2022,3,2,e,e_3_2,150,-20,na,na,na,na,yes
7/14/2022,3,2,f,f_3_2,150,50,na,na,na,na,no
7/14/2022,3,2,g,g_3_2,150,100,na,na,na,na,no
7/14/2022,3,2,h,h_3_2,150,200,na,na,na,na,no
7/14/2022,3,3,i,i_3_3,50,-20,na,na,na,na,yes
7/14/2022,3,3,j,j_3_3,50,50,na,na,na,na,no
7/14/2022,3,3,k,k_3_3,50,100,na,na,na,na,no
7/14/2022,3,3,l,l_3_3,50,200,na,na,na,na,no
9/10/2022,1,1,b,b_1_1,95,25,na,na,na,na,no
9/10/2022,1,1,d,d_1_1,90,25,na,na,na,na,no
9/10/2022,1,1,g,g_1_1,80,25,na,na,na,na,no
9/10/2022,1,1,c,c_1_1,65,25,na,na,na,na,no
9/10/2022,1,1,f,f_1_1,50,25,na,na,na,na,no
9/10/2022,2,1,b,b_2_1,95,25,na,na,na,na,no
9/10/2022,2,1,d,d_2_1,90,25,na,na,na,na,no
9/10/2022,2,1,g,g_2_1,80,25,na,na,na,na,no
9/10/2022,2,1,c,c_2_1,65,25,na,na,na,na,no
9/10/2022,2,1,f,f_2_1,50,25,na,na,na,na,no
9/10/2022,2,2,e,e_2_2,105,25,na,na,na,na,no
9/10/2022,2,2,i,i_2_2,115,25,na,na,na,na,no
9/10/2022,2,2,l,l_2_2,120,25,na,na,na,na,no
9/10/2022,2,2,k,k_2_2,135,25,na,na,na,na,no
9/10/2022,2,2,j,j_2_2,150,25,na,na,na,na,no
7/18/2022,1,1,a,a_1_1,250,-20,na,na,na,na,yes
7/18/2022,1,1,b,b_1_1,250,50,na,na,na,na,no
7/18/2022,1,1,c,c_1_1,250,100,na,na,na,na,no
7/18/2022,1,1,d,d_1_1,250,200,na,na,na,na,no
7/18/2022,1,2,e,e_1_2,150,-20,na,na,na,na,yes
7/18/2022,1,2,f,f_1_2,150,50,na,na,na,na,no
7/18/2022,1,2,g,g_1_2,150,100,na,na,na,na,no
7/18/2022,1,2,h,h_1_2,150,200,na,na,na,na,no
7/18/2022,1,3,i,i_1_3,50,-20,na,na,na,na,yes
7/18/2022,1,3,j,j_1_3,50,50,na,na,na,na,no
7/18/2022,1,3,k,k_1_3,50,100,na,na,na,na,no
7/18/2022,1,3,l,l_1_3,50,200,na,na,na,na,no
7/18/2022,2,1,a,a_2_1,250,-20,na,na,na,na,yes
7/18/2022,2,1,b,b_2_1,250,50,na,na,na,na,no
7/18/2022,2,1,c,c_2_1,250,100,na,na,na,na,no
7/18/2022,2,1,d,d_2_1,250,200,na,na,na,na,no
7/18/2022,2,2,e,e_2_2,150,-20,na,na,na,na,yes
7/18/2022,2,2,f,f_2_2,150,50,na,na,na,na,no
7/18/2022,2,2,g,g_2_2,150,100,na,na,na,na,no
7/18/2022,2,2,h,h_2_2,150,200,na,na,na,na,no
7/18/2022,2,3,i,i_2_3,50,-20,na,na,na,na,yes
7/18/2022,2,3,j,j_2_3,50,50,na,na,na,na,no
7/18/2022,2,3,k,k_2_3,50,100,na,na,na,na,no
7/18/2022,2,3,l,l_2_3,50,200,na,na,na,na,no
7/18/2022,3,1,a,a_3_1,250,-20,na,na,na,na,yes
7/18/2022,3,1,b,b_3_1,250,50,na,na,na,na,no
7/18/2022,3,1,c,c_3_1,250,100,na,na,na,na,no
7/18/2022,3,1,d,d_3_1,250,200,na,na,na,na,no
7/18/2022,3,2,e,e_3_2,150,-20,na,na,na,na,yes
7/18/2022,3,2,f,f_3_2,150,50,na,na,na,na,no
7/18/2022,3,2,g,g_3_2,150,100,na,na,na,na,no
7/18/2022,3,2,h,h_3_2,150,200,na,na,na,na,no
7/18/2022,3,3,i,i_3_3,50,-20,na,na,na,na,yes
7/18/2022,3,3,j,j_3_3,50,50,na,na,na,na,no
7/18/2022,3,3,k,k_3_3,50,100,na,na,na,na,no
7/18/2022,3,3,l,l_3_3,50,200,na,na,na,na,no
9/25/2022,1,1,a,a_1_1,na,na,-30,20,100,25,yes
9/25/2022,1,1,b,b_1_1,na,na,150,50,100,25,no
9/25/2022,1,1,c,c_1_1,na,na,150,20,100,25,no
8/27/2022,1,1,h,h_1_1,250,-20,na,na,na,na,yes
8/27/2022,1,1,b,b_1_1,250,20,na,na,na,na,no
8/27/2022,1,1,c,c_1_1,250,35,na,na,na,na,no
8/27/2022,1,1,d,d_1_1,250,50,na,na,na,na,no
8/27/2022,1,2,e,e_1_2,150,-20,na,na,na,na,yes
8/27/2022,1,2,f,f_1_2,150,20,na,na,na,na,no
8/27/2022,1,2,g,g_1_2,150,35,na,na,na,na,no
8/27/2022,1,2,a,a_1_2,150,50,na,na,na,na,no
8/27/2022,1,3,i,i_1_3,50,-20,na,na,na,na,yes
8/27/2022,1,3,j,j_1_3,50,20,na,na,na,na,no
8/27/2022,1,3,k,k_1_3,50,35,na,na,na,na,no
8/27/2022,1,3,l,l_1_3,50,50,na,na,na,na,no
8/27/2022,2,1,h,h_2_1,250,-20,na,na,na,na,yes
8/27/2022,2,1,b,b_2_1,250,20,na,na,na,na,no
8/27/2022,2,1,c,c_2_1,250,35,na,na,na,na,no
8/27/2022,2,1,d,d_2_1,250,50,na,na,na,na,no
8/27/2022,2,2,e,e_2_2,150,-20,na,na,na,na,yes
8/27/2022,2,2,f,f_2_2,150,20,na,na,na,na,no
8/27/2022,2,2,g,g_2_2,150,35,na,na,na,na,no
8/27/2022,2,2,a,a_2_2,150,50,na,na,na,na,no
8/27/2022,2,3,i,i_2_3,50,-20,na,na,na,na,yes
8/27/2022,2,3,j,j_2_3,50,20,na,na,na,na,no
8/27/2022,2,3,k,k_2_3,50,35,na,na,na,na,no
8/27/2022,2,3,l,l_2_3,50,50,na,na,na,na,no
8/27/2022,3,1,h,h_3_1,250,-20,na,na,na,na,yes
8/27/2022,3,1,b,b_3_1,250,20,na,na,na,na,no
8/27/2022,3,1,c,c_3_1,250,35,na,na,na,na,no
8/27/2022,3,1,d,d_3_1,250,50,na,na,na,na,no
8/27/2022,3,2,e,e_3_2,150,-20,na,na,na,na,yes
8/27/2022,3,2,f,f_3_2,150,20,na,na,na,na,no
8/27/2022,3,2,g,g_3_2,150,75,na,na,na,na,no
8/27/2022,3,2,a,a_3_2,150,50,na,na,na,na,no
8/27/2022,3,3,i,i_3_3,50,-20,na,na,na,na,yes
8/27/2022,3,3,j,j_3_3,50,20,na,na,na,na,no
8/27/2022,3,3,k,k_3_3,50,75,na,na,na,na,no
8/27/2022,3,3,l,l_3_3,50,50,na,na,na,na,no
10/5/2022,1,1,a,a_1_1,-25,100,na,na,na,na,yes
10/5/2022,1,1,b,b_1_1,50,150,na,na,na,na,no
10/5/2022,1,1,c,c_1_1,150,150,na,na,na,na,no
10/5/2022,1,1,d,d_1_1,250,150,na,na,na,na,no
10/5/2022,1,2,e,e_1_2,50,75,na,na,na,na,no
10/5/2022,1,2,f,f_1_2,150,75,na,na,na,na,no
10/5/2022,1,2,g,g_1_2,250,75,na,na,na,na,no
10/5/2022,2,1,a,a_2_1,-25,100,na,na,na,na,yes
10/5/2022,2,1,b,b_2_1,50,150,na,na,na,na,no
10/5/2022,2,1,c,c_2_1,150,150,na,na,na,na,no
10/5/2022,2,1,d,d_2_1,250,150,na,na,na,na,no
10/5/2022,2,2,e,e_2_2,50,75,na,na,na,na,no
10/5/2022,2,2,f,f_2_2,150,75,na,na,na,na,no
10/5/2022,2,2,g,g_2_2,250,75,na,na,na,na,no
10/15/2022,1,1,a,a_1_1,100,-20,na,na,na,na,yes 
10/15/2022,1,1,b,b_1_1,250,50,na,na,na,na,no
10/15/2022,1,1,c,c_1_1,250,100,na,na,na,na,no
10/15/2022,1,1,h,h_1_1,250,150,na,na,na,na,no
10/15/2022,1,2,e,e_1_2,150,25,na,na,na,na,no
10/15/2022,1,2,f,f_1_2,150,50,na,na,na,na,no
10/15/2022,1,2,g,g_1_2,150,100,na,na,na,na,no
10/15/2022,1,2,d,d_1_2,150,150,na,na,na,na,no
10/15/2022,1,3,i,i_1_3,50,25,na,na,na,na,no
10/15/2022,1,3,j,j_1_3,50,50,na,na,na,na,no
10/15/2022,1,3,k,k_1_3,50,100,na,na,na,na,no
10/15/2022,1,3,l,l_1_3,50,150,na,na,na,na,no
10/15/2022,2,1,a,a_2_1,100,-20,na,na,na,na,yes 
10/15/2022,2,1,b,b_2_1,250,50,na,na,na,na,no
10/15/2022,2,1,c,c_2_1,250,100,na,na,na,na,no
10/15/2022,2,1,h,h_2_1,250,150,na,na,na,na,no
10/15/2022,2,2,e,e_2_2,150,25,na,na,na,na,no
10/15/2022,2,2,f,f_2_2,150,50,na,na,na,na,no
10/15/2022,2,2,g,g_2_2,150,100,na,na,na,na,no
10/15/2022,2,2,d,d_2_2,150,150,na,na,na,na,no
10/15/2022,2,3,i,i_2_3,50,25,na,na,na,na,no
10/15/2022,2,3,j,j_2_3,50,50,na,na,na,na,no
10/15/2022,2,3,k,k_2_3,50,100,na,na,na,na,no
10/15/2022,2,3,l,l_2_3,50,150,na,na,na,na,no
11/2/2022,1,1,j,j_1_1,50,150,na,na,na,na,no
11/2/2022,1,1,k,k_1_1,150,150,na,na,na,na,no
11/2/2022,1,1,l,l_1_1,200,150,na,na,na,na,no
11/2/2022,1,2,f,f_1_2,50,75,na,na,na,na,no
11/2/2022,1,2,g,g_1_2,150,75,na,na,na,na,no
11/2/2022,1,2,i,i_1_2,200,75,na,na,na,na,no
11/2/2022,1,3,b,b_1_3,50,25,na,na,na,na,no
11/2/2022,1,3,c,c_1_3,100,25,na,na,na,na,no
11/2/2022,1,3,d,d_1_3,150,25,na,na,na,na,no
11/2/2022,1,3,e,e_1_3,200,25,na,na,na,na,no
11/2/2022,1,5,h,h_1_5,250,25,na,na,na,na,no
11/2/2022,1,1,a,a_1_1,-25,75,na,na,na,na,yes
11/9/2022,1,1,h,h_1_1,0,150,na,na,na,na,no
11/9/2022,1,1,l,l_1_1,50,150,na,na,na,na,no
11/9/2022,1,1,k,k_1_1,150,150,na,na,na,na,no
11/9/2022,1,2,i,i_1_2,250,150,na,na,na,na,no
11/9/2022,1,2,j,j_1_2,0,75,na,na,na,na,no
11/9/2022,1,2,g,g_1_2,50,75,na,na,na,na,no
11/9/2022,1,3,f,f_1_3,150,75,na,na,na,na,no
11/9/2022,1,3,e,e_1_3,250,75,na,na,na,na,no
11/9/2022,1,3,d,d_1_3,0,25,na,na,na,na,no
11/9/2022,1,4,c,c_1_4,50,25,na,na,na,na,no
11/9/2022,1,4,b,b_1_4,150,25,na,na,na,na,no
11/9/2022,1,4,a,a_1_4,250,25,na,na,na,na,no
11/9/2022,2,1,a,a_2_1,0,150,na,na,na,na,no
11/9/2022,2,1,e,e_2_1,50,150,na,na,na,na,no
11/9/2022,2,1,i,i_2_1,150,150,na,na,na,na,no
11/9/2022,2,2,b,b_2_2,250,150,na,na,na,na,no
11/9/2022,2,2,f,f_2_2,0,75,na,na,na,na,no
11/9/2022,2,2,k,k_2_2,50,75,na,na,na,na,no
11/9/2022,2,3,c,c_2_3,150,75,na,na,na,na,no
11/9/2022,2,3,g,g_2_3,250,75,na,na,na,na,no
11/9/2022,2,3,l,l_2_3,0,25,na,na,na,na,no
11/9/2022,2,4,d,d_2_4,50,25,na,na,na,na,no
11/9/2022,2,4,j,j_2_4,150,25,na,na,na,na,no
11/9/2022,2,4,h,h_2_4,250,25,na,na,na,na,no
6/3/2022,1,1,a,a_1_1,250,-20,na,na,na,na,yes
6/3/2022,1,1,b,b_1_1,250,50,na,na,na,na,no
6/3/2022,1,1,c,c_1_1,250,100,na,na,na,na,no
6/3/2022,1,1,d,d_1_1,250,200,na,na,na,na,no
6/3/2022,1,2,e,e_1_2,150,-20,na,na,na,na,yes
6/3/2022,1,2,f,f_1_2,150,50,na,na,na,na,no
6/3/2022,1,2,g,g_1_2,150,100,na,na,na,na,no
6/3/2022,1,2,h,h_1_2,150,200,na,na,na,na,no
6/3/2022,1,3,i,i_1_3,50,-20,na,na,na,na,yes
6/3/2022,1,3,j,j_1_3,50,50,na,na,na,na,no
6/3/2022,1,3,k,k_1_3,50,100,na,na,na,na,no
6/3/2022,1,3,l,l_1_3,50,200,na,na,na,na,no
